Handle,Body HTML,Details,Dimensions
treviso-dresser,"The new ﬁnishing Treviso reveals the unique beauty and versatility of the eco-stone surface, a resistant and durable technical material. Warm color, Mediterranean and ﬁne wrinkled texture combined with high gloss white color and chromed handles.","Color: white, grey, silver. 
Material: wood-based panel. 
Finish: mat, shiny.","Dimensions (in): 59"" W x 19"" D x 32"" H."
treviso-mirror,"The new ﬁnishing Treviso reveals the unique beauty and versatility of the eco-stone surface, a resistant and durable technical material. Warm color, Mediterranean and ﬁne wrinkled texture combined with high gloss white color and chromed handles.","Color: white, grey, silver. 
Material: wood-based panel. 
Finish: mat, shiny.","Dimensions (in): 37.5"" W x 0.78"" D x 40"" H."
treviso-floating-bedside-table,"The new ﬁnishing Treviso reveals the unique beauty and versatility of the eco-stone surface, a resistant and durable technical material. Warm color, Mediterranean and ﬁne wrinkled texture combined with high gloss white color and chromed handles.","Color: white, grey, silver. 
Material: wood-based panel. 
Finish: mat, shiny.",
treviso-chest,"The new ﬁnishing Treviso reveals the unique beauty and versatility of the eco-stone surface, a resistant and durable technical material. Warm color, Mediterranean and ﬁne wrinkled texture combined with high gloss white color and chromed handles.","Color: white, grey, silver. 
Material: wood-based panel. 
Finish: mat, shiny.","Dimensions (in): 25"" W x 16"" D x 52"" H."
treviso-nightstand,"The new ﬁnishing Treviso reveals the unique beauty and versatility of the eco-stone surface, a resistant and durable technical material. Warm color, Mediterranean and ﬁne wrinkled texture combined with high gloss white color and chromed handles.","Color: white, grey, silver. 
Material: wood-based panel. 
Finish: mat, shiny.","Dimensions (in): 25"" W x 16"" D x 22"" H."
ronda-dresser,"Ronda with Salvador Bed is high-end modern bedroom furniture from Spain. Set consists of a bed with LED lighting, two night stands, a dresser with a mirror, chest and a floor mirror can be added. The design of all items is made in light style, which makes it possible to create a harmonious sleeping set.","Color: white, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 46.46"" W x 19.21"" D x 36.61"" H."
ronda-nightstand,"Ronda with Salvador Bed is high-end modern bedroom furniture from Spain. Set consists of a bed with LED lighting, two night stands, a dresser with a mirror, chest and a floor mirror can be added. The design of all items is made in light style, which makes it possible to create a harmonious sleeping set.","Color: white, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Option: 58.27"" W x 19.49"" D x 32.91"" H."
ronda-mirror,"Ronda with Salvador Bed is high-end modern bedroom furniture from Spain. Set consists of a bed with LED lighting, two night stands, a dresser with a mirror, chest and a floor mirror can be added. The design of all items is made in light style, which makes it possible to create a harmonious sleeping set.","Color: white, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 22.44"" W x 18.5"" D x 15.59"" H."
ronda-chest,"Ronda with Salvador Bed is high-end modern bedroom furniture from Spain. Set consists of a bed with LED lighting, two night stands, a dresser with a mirror, chest and a floor mirror can be added. The design of all items is made in light style, which makes it possible to create a harmonious sleeping set.","Color: white, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 39.37"" W x 0.91"" D x 39.37"" H."
ronda-floor-mirror,"Ronda with Salvador Bed is high-end modern bedroom furniture from Spain. Set consists of a bed with LED lighting, two night stands, a dresser with a mirror, chest and a floor mirror can be added. The design of all items is made in light style, which makes it possible to create a harmonious sleeping set.","Color: white, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 22.83"" W x 18.5"" D x 46.06"" H."
cordoba-chest,"Glamorous high end finish white gloss will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed, two nightstands, dresser and a mirror. The headboard especially accents long lacquer and oak veneer curves. The optional chest, Double Dresser and full-lengths floor mirror can be added for your convenience. All drawers are equipped with self closing mechanisms.","Color: white. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 30"" W x 1.57"" D x 76.46"" H."
cordoba-standing-mirror,"Glamorous high end finish white gloss will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed, two nightstands, dresser and a mirror. The headboard especially accents long lacquer and oak veneer curves. The optional chest, Double Dresser and full-lengths floor mirror can be added for your convenience. All drawers are equipped with self closing mechanisms.","Color: white. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 22.83"" W x 18.5"" D x 46.06"" H."
cordoba-mirror,"Glamorous high end finish white gloss will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed, two nightstands, dresser and a mirror. The headboard especially accents long lacquer and oak veneer curves. The optional chest, Double Dresser and full-lengths floor mirror can be added for your convenience. All drawers are equipped with self closing mechanisms.","Color: white. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 30"" W x 1.57"" D x 76.46"" H."
cordoba-dresser,"Glamorous high end finish white gloss will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed, two nightstands, dresser and a mirror. The headboard especially accents long lacquer and oak veneer curves. The optional chest, Double Dresser and full-lengths floor mirror can be added for your convenience. All drawers are equipped with self closing mechanisms.","Color: white. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 39.37"" W x 0.79"" D x 39.37"" H."
cordoba-dresser,"Glamorous high end finish white gloss will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed, two nightstands, dresser and a mirror. The headboard especially accents long lacquer and oak veneer curves. The optional chest, Double Dresser and full-lengths floor mirror can be added for your convenience. All drawers are equipped with self closing mechanisms.","Color: white. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 46.46"" W x 19.21"" D x 36.61"" H."
cordoba-nightstand,"Glamorous high end finish white gloss will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed, two nightstands, dresser and a mirror. The headboard especially accents long lacquer and oak veneer curves. The optional chest, Double Dresser and full-lengths floor mirror can be added for your convenience. All drawers are equipped with self closing mechanisms.","Color: white. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Option: 58.27"" W x 19.49"" D x 32.91"" H."
carmen-white-mirror,One of a kind modern design in clean white color.,"Color: white, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 22.83"" W x 18.5"" D x 15.59"" H."
carmen-white-mirror,One of a kind modern design in clean white color.,"Color: white, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 40"" W x 4"" D x 40"" H."
carmen-white-nightstand,One of a kind modern design in clean white color.,"Color: white, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Option: 63"" W x 4"" D x 40"" H."
carmen-white-dresser,One of a kind modern design in clean white color.,"Color: white, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 24"" W x 16"" D x 17"" H."
carmen-white-dresser,One of a kind modern design in clean white color.,"Color: white, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 47"" W x 16"" D x 41"" H."
carmen-white-chest,One of a kind modern design in clean white color.,"Color: white, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Option: 63"" W x 16"" D x 35"" H."
barcelona-nightstand,European exclusive design and construction. Brown lacquer finish wood with easy to use large drawers equipped with smooth railing mechanism. Platform bed with the beige-grey and brown combination headboard. All drawers are equipped with self closing mechanisms.,"Color: brown, wenge, walnut. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 24"" W x 16"" D x 49"" H."
barcelona-dresser,European exclusive design and construction. Brown lacquer finish wood with easy to use large drawers equipped with smooth railing mechanism. Platform bed with the beige-grey and brown combination headboard. All drawers are equipped with self closing mechanisms.,"Color: brown, wenge, walnut. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 22.83"" W x 18.5"" D x 17.36"" H."
barcelona-dresser,European exclusive design and construction. Brown lacquer finish wood with easy to use large drawers equipped with smooth railing mechanism. Platform bed with the beige-grey and brown combination headboard. All drawers are equipped with self closing mechanisms.,"Color: brown, wenge, walnut. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 46.46"" W x 19.21"" D x 36.61"" H."
barcelona-mirror,European exclusive design and construction. Brown lacquer finish wood with easy to use large drawers equipped with smooth railing mechanism. Platform bed with the beige-grey and brown combination headboard. All drawers are equipped with self closing mechanisms.,"Color: brown, wenge, walnut. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Option: 58.27"" W x 19.49"" D x 32.91"" H."
barcelona-standing-mirror,European exclusive design and construction. Brown lacquer finish wood with easy to use large drawers equipped with smooth railing mechanism. Platform bed with the beige-grey and brown combination headboard. All drawers are equipped with self closing mechanisms.,"Color: brown, wenge, walnut. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 39.37"" W x 1"" D x 39.37"" H."
barcelona-chest,European exclusive design and construction. Brown lacquer finish wood with easy to use large drawers equipped with smooth railing mechanism. Platform bed with the beige-grey and brown combination headboard. All drawers are equipped with self closing mechanisms.,"Color: brown, wenge, walnut. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 30"" W x 1.57"" D x 76.46"" H."
barocco-dresser,"This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed, 2 Nightstands, Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige. 
Material: wood metal, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 22.83"" W x 18.5"" D x 46.06"" H."
barocco-dresser,"This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed, 2 Nightstands, Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige. 
Material: wood metal, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 50"" W x 18"" D x 30"" H."
barocco-nightstand,"This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed, 2 Nightstands, Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige. 
Material: wood metal, MDF. 
Finish: high gloss lacquer.","Option: 68"" W x 18"" D x 30"" H."
barocco-mirror,"This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed, 2 Nightstands, Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige. 
Material: wood metal, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 23"" W x 16"" D x 21"" H."
barocco-wardrobe,"This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed, 2 Nightstands, Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige. 
Material: wood metal, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 42"" W x 3"" D x 46"" H."
barocco-wardrobe,"This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed, 2 Nightstands, Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige. 
Material: wood metal, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 35"" W x 21"" D x 79"" H."
barocco-vanity-dresser,"This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed, 2 Nightstands, Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige. 
Material: wood metal, MDF. 
Finish: high gloss lacquer.","Option: 70"" W x 21"" D x 89"" H."
barocco-nightstand,"This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed, 2 Nightstands, Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige. 
Material: wood metal, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 69"" W x 16"" D x 30"" H."
barocco-dresser,"This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed, 2 Nightstands, Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige. 
Material: wood metal, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 23"" W x 16"" D x 21"" H."
barocco-dresser,"This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed, 2 Nightstands, Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige. 
Material: wood metal, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 68"" W x 18"" D x 30"" H."
barocco-mirror,"This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed, 2 Nightstands, Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige. 
Material: wood metal, MDF. 
Finish: high gloss lacquer.","Option: 50"" W x 18"" D x 30"" H."
barocco-wardrobe,"This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed, 2 Nightstands, Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige. 
Material: wood metal, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 42"" W x 3"" D x 46"" H."
barocco-wardrobe,"This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed, 2 Nightstands, Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige. 
Material: wood metal, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 70"" W x 21"" D x 89"" H."
barocco-vanity-dresser,"This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed, 2 Nightstands, Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige. 
Material: wood metal, MDF. 
Finish: high gloss lacquer.","Option: 35"" W x 21"" D x 79"" H."
kiu-dresser,Stylish modern looking bedroom - perfect for any interior style. ,"Color: white. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 69"" W x 16"" D x 30"" H."
kiu-dresser,Stylish modern looking bedroom - perfect for any interior style. ,"Color: white. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 47.24"" W x 15.75"" D x 41.73"" H."
kiu-mirror,Stylish modern looking bedroom - perfect for any interior style. ,"Color: white. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Option: 62.99"" W x 15.75"" D x 36.22"" H."
kiu-mirror,Stylish modern looking bedroom - perfect for any interior style. ,"Color: white. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 39.37"" W x 1.97"" D x 39.37"" H."
kiu-chest,Stylish modern looking bedroom - perfect for any interior style. ,"Color: white. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Option: 59.06"" W x 1.97"" D x 27.56"" H."
kiu-nightstand,Stylish modern looking bedroom - perfect for any interior style. ,"Color: white. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 23.62"" W x 15.75"" D x 49.61"" H."
platinum-wardrobe,"New Silver Birch finish to mark the unique, highly contemporary design of this bedroom PLATINUM. Modern lines combined with Art Deco’ details. Beveled mirror and wave shaped handles give a typical Made in Italy look to this bedroom. Padded in Eco-Leather headboard “DROP” with vertical central Swarovski insert, side courtesy lights and lateral glass shelves. The bed ring has shaped side rails with chromed skirt and is made functional by an optional storage kit with lift mechanism.","Color: brown, wenge, walnut, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 23.62"" W x 15.75"" D x 18.11"" H."
platinum-dresser,"New Silver Birch finish to mark the unique, highly contemporary design of this bedroom PLATINUM. Modern lines combined with Art Deco’ details. Beveled mirror and wave shaped handles give a typical Made in Italy look to this bedroom. Padded in Eco-Leather headboard “DROP” with vertical central Swarovski insert, side courtesy lights and lateral glass shelves. The bed ring has shaped side rails with chromed skirt and is made functional by an optional storage kit with lift mechanism.","Color: brown, wenge, walnut, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 74"" W x 24"" D x 90"" H."
platinum-dresser,"New Silver Birch finish to mark the unique, highly contemporary design of this bedroom PLATINUM. Modern lines combined with Art Deco’ details. Beveled mirror and wave shaped handles give a typical Made in Italy look to this bedroom. Padded in Eco-Leather headboard “DROP” with vertical central Swarovski insert, side courtesy lights and lateral glass shelves. The bed ring has shaped side rails with chromed skirt and is made functional by an optional storage kit with lift mechanism.","Color: brown, wenge, walnut, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 32"" W x 21.5"" D x 70"" H."
platinum-nightstand,"New Silver Birch finish to mark the unique, highly contemporary design of this bedroom PLATINUM. Modern lines combined with Art Deco’ details. Beveled mirror and wave shaped handles give a typical Made in Italy look to this bedroom. Padded in Eco-Leather headboard “DROP” with vertical central Swarovski insert, side courtesy lights and lateral glass shelves. The bed ring has shaped side rails with chromed skirt and is made functional by an optional storage kit with lift mechanism.","Color: brown, wenge, walnut, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Option: 68"" W x 20"" D x 30"" H."
platinum-mirror,"New Silver Birch finish to mark the unique, highly contemporary design of this bedroom PLATINUM. Modern lines combined with Art Deco’ details. Beveled mirror and wave shaped handles give a typical Made in Italy look to this bedroom. Padded in Eco-Leather headboard “DROP” with vertical central Swarovski insert, side courtesy lights and lateral glass shelves. The bed ring has shaped side rails with chromed skirt and is made functional by an optional storage kit with lift mechanism.","Color: brown, wenge, walnut, grey, silver. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer, mat.","Dimensions (in): 32"" W x 18.5"" D x 22.5"" H."
leo-wardrobe,"Beauty and the difficulty of this bedroom set to achieve a balance that looks attractive, is to precisely mix Eco leather with fabrics and three different finishes (Wood veneer and lacquers). An art in itself extremely complicated and very rarely achieved.
Other than the standard conventional elements, this collection has alternative double dresser, chest, 2 door wardrobes options.","Color: brown, wenge, walnut, grey, silver. 
Material: eco leather, fabric, wood veneer, glass, mdf. 
Finish: mat.","Dimensions (in): 48"" W x 1"" D x 36"" H."
leo-dresser,"Beauty and the difficulty of this bedroom set to achieve a balance that looks attractive, is to precisely mix Eco leather with fabrics and three different finishes (Wood veneer and lacquers). An art in itself extremely complicated and very rarely achieved.
Other than the standard conventional elements, this collection has alternative double dresser, chest, 2 door wardrobes options.","Color: brown, wenge, walnut, grey, silver. 
Material: eco leather, fabric, wood veneer, glass, mdf. 
Finish: mat.","Dimensions (in): 39"" W x 24"" D x 67"" H."
leo-dresser,"Beauty and the difficulty of this bedroom set to achieve a balance that looks attractive, is to precisely mix Eco leather with fabrics and three different finishes (Wood veneer and lacquers). An art in itself extremely complicated and very rarely achieved.
Other than the standard conventional elements, this collection has alternative double dresser, chest, 2 door wardrobes options.","Color: brown, wenge, walnut, grey, silver. 
Material: eco leather, fabric, wood veneer, glass, mdf. 
Finish: mat.","Dimensions (in): 59"" W x 17"" D x 33"" H."
leo-mirror,"Beauty and the difficulty of this bedroom set to achieve a balance that looks attractive, is to precisely mix Eco leather with fabrics and three different finishes (Wood veneer and lacquers). An art in itself extremely complicated and very rarely achieved.
Other than the standard conventional elements, this collection has alternative double dresser, chest, 2 door wardrobes options.","Color: brown, wenge, walnut, grey, silver. 
Material: eco leather, fabric, wood veneer, glass, mdf. 
Finish: mat.","Option: 48"" W x 17"" D x 33"" H."
leo-nightstand,"Beauty and the difficulty of this bedroom set to achieve a balance that looks attractive, is to precisely mix Eco leather with fabrics and three different finishes (Wood veneer and lacquers). An art in itself extremely complicated and very rarely achieved.
Other than the standard conventional elements, this collection has alternative double dresser, chest, 2 door wardrobes options.","Color: brown, wenge, walnut, grey, silver. 
Material: eco leather, fabric, wood veneer, glass, mdf. 
Finish: mat.","Dimensions (in): 48"" W x 2"" D x 24"" H."
leo-nightstand,"Beauty and the difficulty of this bedroom set to achieve a balance that looks attractive, is to precisely mix Eco leather with fabrics and three different finishes (Wood veneer and lacquers). An art in itself extremely complicated and very rarely achieved.
Other than the standard conventional elements, this collection has alternative double dresser, chest, 2 door wardrobes options.","Color: brown, wenge, walnut, grey, silver. 
Material: eco leather, fabric, wood veneer, glass, mdf. 
Finish: mat.","Dimensions (in): 25"" W x 17"" D x 25"" H."
leo-chest,"Beauty and the difficulty of this bedroom set to achieve a balance that looks attractive, is to precisely mix Eco leather with fabrics and three different finishes (Wood veneer and lacquers). An art in itself extremely complicated and very rarely achieved.
Other than the standard conventional elements, this collection has alternative double dresser, chest, 2 door wardrobes options.","Color: brown, wenge, walnut, grey, silver. 
Material: eco leather, fabric, wood veneer, glass, mdf. 
Finish: mat.","Option: 25"" W x 17"" D x 18"" H."
oxford-nightstand,Simply designed modern Oxford Bedgroup fits in well with both classical and traditional interior designs.,"Color: grey, silver. 
Material: eco leather, wood-based panel, glass. 
Finish: high gloss lacquer.","Dimensions (in): 25"" W x 17"" D x 44"" H."
oxford-dresser,Simply designed modern Oxford Bedgroup fits in well with both classical and traditional interior designs.,"Color: grey, silver. 
Material: eco leather, wood-based panel, glass. 
Finish: high gloss lacquer.","Dimensions (in): 20"" W x 15"" D x 18"" H."
oxford-dresser,Simply designed modern Oxford Bedgroup fits in well with both classical and traditional interior designs.,"Color: grey, silver. 
Material: eco leather, wood-based panel, glass. 
Finish: high gloss lacquer.","Dimensions (in): 60"" W x 18"" D x 30"" H."
oxford-mirror,Simply designed modern Oxford Bedgroup fits in well with both classical and traditional interior designs.,"Color: grey, silver. 
Material: eco leather, wood-based panel, glass. 
Finish: high gloss lacquer.","Option: 40"" W x 18"" D x 30"" H."
oxford-wardrobe,Simply designed modern Oxford Bedgroup fits in well with both classical and traditional interior designs.,"Color: grey, silver. 
Material: eco leather, wood-based panel, glass. 
Finish: high gloss lacquer.","Dimensions (in): 43"" W x 1"" D x 28"" H."
marina-wardrobe,"Combination of natural wood veneer and matt lacquer finish make the bedroom set adorable with quiet look.
Set available as King or Queen Size Bed with Nightstand , Dresser and Mirror. Also you can add a optional Chest, double dresser, or 2 or 4 Door Wardrobe. Hardware used for the bed base is all from Europe. All drawers are equipped with self closing mechanisms.","Color: white, light beige. 
Material: wood veneer, wood-based panel. 
Finish: mat.","Dimensions (in): 71"" W x 22"" D x 83"" H."
marina-chest,"Combination of natural wood veneer and matt lacquer finish make the bedroom set adorable with quiet look.
Set available as King or Queen Size Bed with Nightstand , Dresser and Mirror. Also you can add a optional Chest, double dresser, or 2 or 4 Door Wardrobe. Hardware used for the bed base is all from Europe. All drawers are equipped with self closing mechanisms.","Color: white, light beige. 
Material: wood veneer, wood-based panel. 
Finish: mat.","Dimensions (in): 39"" W x 24"" D x 67"" H."
marina-mirror,"Combination of natural wood veneer and matt lacquer finish make the bedroom set adorable with quiet look.
Set available as King or Queen Size Bed with Nightstand , Dresser and Mirror. Also you can add a optional Chest, double dresser, or 2 or 4 Door Wardrobe. Hardware used for the bed base is all from Europe. All drawers are equipped with self closing mechanisms.","Color: white, light beige. 
Material: wood veneer, wood-based panel. 
Finish: mat.","Dimensions (in): 25"" W x 17"" D x 44"" H."
