"Handle","Command","Title","Body HTML","Vendor","Type","Tags","Published","Published Scope","Image Src","Variant SKU","Variant Price","Variant Inventory Tracker","Option1 Name","Option1 Value"
"ronda-with-salvador-bed-set","UPDATE","Ronda With Salvador Bed Set","Ronda with Salvador Bed is high-end modern bedroom furniture from Spain. Set consists of a bed with LED lighting; two night stands; a dresser with a mirror; chest and a floor mirror can be added. The design of all items is made in light style; which makes it possible to create a harmonious sleeping set.  Finishes:  WHITE HIGH GLOSS / LIGHT GREY HIGH GLOSS","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Ronda-With-Salvador-Bed.gif","p9851-i22182+i22206+i22176+i22177+i22179","7199.99","shopify","Size","King"
"ronda-with-salvador-bed-set","UPDATE","Ronda With Salvador Bed Set","Ronda with Salvador Bed is high-end modern bedroom furniture from Spain. Set consists of a bed with LED lighting; two night stands; a dresser with a mirror; chest and a floor mirror can be added. The design of all items is made in light style; which makes it possible to create a harmonious sleeping set.  Finishes:  WHITE HIGH GLOSS / LIGHT GREY HIGH GLOSS","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Ronda-With-Salvador-Bed.gif","p9851-i22175+i22176+i22177+i22179","4799.99","shopify","Size","Queen"
"cordoba-bedroom-set","UPDATE","Cordoba Bedroom Set","Glamorous high end finish white gloss will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed; two nightstands; dresser and a mirror. The headboard especially accents long lacquer and oak veneer curves. The optional chest; Double Dresser and full-lengths floor mirror can be added for your convenience. All drawers are equipped with self closing mechanisms.  FINISHES: WHITE HIGH GLOSS / NATURAL OAK WHITE DECAPÉ ","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Cordoba.gif","p8357-i17817+i17814+i17812+i17810","8399.99","shopify","Size","King"
"cordoba-bedroom-set","UPDATE","Cordoba Bedroom Set","Glamorous high end finish white gloss will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed; two nightstands; dresser and a mirror. The headboard especially accents long lacquer and oak veneer curves. The optional chest; Double Dresser and full-lengths floor mirror can be added for your convenience. All drawers are equipped with self closing mechanisms.  FINISHES: WHITE HIGH GLOSS / NATURAL OAK WHITE DECAPÉ ","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Cordoba.gif","p8357-i17807+i17814+i17812+i17810","7799.99","shopify","Size","Queen"
"miami-bedgroup-set","UPDATE","Miami Bedgroup Set","One of a kind modern design in clean white color.   The Bedroom Furniture Set consists of Queen Size Bed; Nightstand; Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest; 2 Door Wardrobe and Double Dresser are optional items.  Nightstand;Dresser;Chest Finish: White 120 MATT carcas / Fronts 220 High Gloss/ metal Handle SERIK II  Mirror: 220 High Gloss White  Bed: Ecoleather: FLOR 500   Headboard: Eco-Leather White; Self closing drawers.  Storage platform available for special order.  ","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Miami-Bedgroup.gif","p8342-i17722+i17718+i17718","2999.99","shopify","Size","King"
"miami-bedgroup-set","UPDATE","Miami Bedgroup Set","One of a kind modern design in clean white color.   The Bedroom Furniture Set consists of Queen Size Bed; Nightstand; Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest; 2 Door Wardrobe and Double Dresser are optional items.  Nightstand;Dresser;Chest Finish: White 120 MATT carcas / Fronts 220 High Gloss/ metal Handle SERIK II  Mirror: 220 High Gloss White  Bed: Ecoleather: FLOR 500   Headboard: Eco-Leather White; Self closing drawers.  Storage platform available for special order.  ","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Miami-Bedgroup.gif","p8342-i17715+i17722+i17718+i17718","6699.99","shopify","Size","Queen"
"barcelona-set","UPDATE","Barcelona Set","Colors: Arena/Chocolate Brillo European exclusive design and construction. Brown lacquer finish wood with easy to use large drawers equipped with smooth railing mechanism. Platform bed with the beige-grey and brown combination headboard. All drawers are equipped with self closing mechanisms.  Finishes: CHOCOLATE HIGH GLOSS / ARENA HIGH GLOSS","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Barcelona.gif","p6834-i11300+i11299+i11298+i10929+i10930+i10932","7099.99","shopify","Size","King"
"barcelona-set","UPDATE","Barcelona Set","Colors: Arena/Chocolate Brillo European exclusive design and construction. Brown lacquer finish wood with easy to use large drawers equipped with smooth railing mechanism. Platform bed with the beige-grey and brown combination headboard. All drawers are equipped with self closing mechanisms.  Finishes: CHOCOLATE HIGH GLOSS / ARENA HIGH GLOSS","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Barcelona.gif","p6834-i11296+i11295+i11294+i10929+i10930+i10932","6499.99","shopify","Size","Queen"
"barocco-ivory-w/gold,-camelgroup-italy-set","UPDATE","Barocco Ivory W/gold, Camelgroup Italy Set","This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed; 2 Nightstands; Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard; then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.Camelgroup Italy","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Classic-Bedrooms_Barocco-Ivory-wGold-Camelgroup-Italy.jpg","p4940-i3848+i3849+i3850+i3851","4199.99","shopify","Size","King"
"barocco-ivory-w/gold,-camelgroup-italy-set","UPDATE","Barocco Ivory W/gold, Camelgroup Italy Set","This traditional Barocco style Bedroom Set consists of Queen Size Leather Panel Bed; 2 Nightstands; Dresser and matching Mirror. Available in several finishes these items will provide all of your bedroom furniture needs. Straight panels are in chipboard; then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.Camelgroup Italy","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Classic-Bedrooms_Barocco-Ivory-wGold-Camelgroup-Italy.jpg","p4940-i3847+i3849+i3850+i3851","3899.99","shopify","Size","Queen"
"kiu-bedroom-set","UPDATE","Kiu Bedroom Set","Bed Finish: 220 High Gloss - White Color  Eco Leather: STAR NUBE (white finish)  Night Stand;Dresser;Chest Finish: Carcass 120 matt & Front 220 High Gloss - White Color  Mirror: 220 High Gloss White  BED QS + 2 x NS = W117;72"  H59;06"  D83;86" BED KS + 2 x NS = W133;86"  H59;06"  D83;86"  <b/><font color="red">Stock option : Bed with lights around headboard .  Night stand; dressers and chest without light.  Special order is available for  n/s; dressers ; chest and mirror with light.</font> </b.","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Kiu.gif","p9891-i22344+i22345+i22348+i22349","7799.99","shopify","Size","King"
"kiu-bedroom-set","UPDATE","Kiu Bedroom Set","Bed Finish: 220 High Gloss - White Color  Eco Leather: STAR NUBE (white finish)  Night Stand;Dresser;Chest Finish: Carcass 120 matt & Front 220 High Gloss - White Color  Mirror: 220 High Gloss White  BED QS + 2 x NS = W117;72"  H59;06"  D83;86" BED KS + 2 x NS = W133;86"  H59;06"  D83;86"  <b/><font color="red">Stock option : Bed with lights around headboard .  Night stand; dressers and chest without light.  Special order is available for  n/s; dressers ; chest and mirror with light.</font> </b.","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Kiu.gif","p9891-i22345+i22348+i22349","4199.99","shopify","Size","Queen"
"platinum-drop-bed-set","UPDATE","Platinum Drop Bed Set","New Silver Birch finish to mark the unique; highly contemporary design of this bedroom PLATINUM. Modern lines combined with Art Deco’ details. Beveled mirror and wave shaped handles give a typical Made in Italy look to this bedroom. Padded in Eco-Leather headboard “DROP” with vertical central Swarovski insert; side courtesy lights and lateral glass shelves. The bed ring has shaped side rails with chromed skirt and is made functional by an optional storage kit with lift mechanism.  **NEW MIRROR DESIGN LIKE ON THE MAIN PICTURE  Finish : High gloss lacquered finish :  High gloss polyester lacquer with anti- yellowing treatment with UV (ultra violet) drying process.","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Platinum-Drop-Bed.gif","p8039-i16444+i16438+i16440+i23362+i18277","6899.99","shopify","Size","King"
"platinum-drop-bed-set","UPDATE","Platinum Drop Bed Set","New Silver Birch finish to mark the unique; highly contemporary design of this bedroom PLATINUM. Modern lines combined with Art Deco’ details. Beveled mirror and wave shaped handles give a typical Made in Italy look to this bedroom. Padded in Eco-Leather headboard “DROP” with vertical central Swarovski insert; side courtesy lights and lateral glass shelves. The bed ring has shaped side rails with chromed skirt and is made functional by an optional storage kit with lift mechanism.  **NEW MIRROR DESIGN LIKE ON THE MAIN PICTURE  Finish : High gloss lacquered finish :  High gloss polyester lacquer with anti- yellowing treatment with UV (ultra violet) drying process.","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Platinum-Drop-Bed.gif","p8039-i16439+i16440+i23362+i18277","6599.99","shopify","Size","Queen"
"leo-bedroom-set","UPDATE","Leo Bedroom Set","Beauty and the difficulty of this bedroom set to achieve a balance that looks attractive; is to precisely mix Eco leather with fabrics and three different finishes (Wood veneer and lacquers). An art in itself extremely complicated and very rarely achieved. Other than the standard conventional elements; this collection has alternative double dresser; chest; 2 door wardrobes options.  Headboard : mix Eco leather with fabrics Topo is the colour name of the Eco leather which is the top upholstered part of the headboard. PERLA is the colour for the fabric upholstered part (the second and third upholstered parts)  Walnut stone; Cuerda + Grafito matt lacquer finish ","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Leo-Bedroom.gif","p9407-i21668+i21670+i21671+i21673","6699.99","shopify","Size","King"
"leo-bedroom-set","UPDATE","Leo Bedroom Set","Beauty and the difficulty of this bedroom set to achieve a balance that looks attractive; is to precisely mix Eco leather with fabrics and three different finishes (Wood veneer and lacquers). An art in itself extremely complicated and very rarely achieved. Other than the standard conventional elements; this collection has alternative double dresser; chest; 2 door wardrobes options.  Headboard : mix Eco leather with fabrics Topo is the colour name of the Eco leather which is the top upholstered part of the headboard. PERLA is the colour for the fabric upholstered part (the second and third upholstered parts)  Walnut stone; Cuerda + Grafito matt lacquer finish ","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Leo-Bedroom.gif","p9407-i21667+i21670+i21671+i21673","6299.99","shopify","Size","Queen"
"oxford-bedroom-set","UPDATE","Oxford Bedroom Set","Simply designed modern Oxford Bedgroup fits in well with both classical and traditional interior designs.  Headboard: Ecoleather  4 Door wardrobe : no light for stock option.   Material:  Cases: wood veneer (a thin layer of solid wood) covered with high gloss acrylic lacquer. Strongest Available; "Anti-Scratch"; Repairable.  Manufactured according to European and International standards.   100% made in Italy ","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Oxford-Bedroom.gif","p9466-i21736+i21737+i21738+i21740","2299.99","shopify","Size","King"
"oxford-bedroom-set","UPDATE","Oxford Bedroom Set","Simply designed modern Oxford Bedgroup fits in well with both classical and traditional interior designs.  Headboard: Ecoleather  4 Door wardrobe : no light for stock option.   Material:  Cases: wood veneer (a thin layer of solid wood) covered with high gloss acrylic lacquer. Strongest Available; "Anti-Scratch"; Repairable.  Manufactured according to European and International standards.   100% made in Italy ","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Oxford-Bedroom.gif","p9466-i21735+i21737+i21738+i21740","2199.99","shopify","Size","Queen"
"marina-bedroom-set","UPDATE","Marina Bedroom Set","Combination of natural wood veneer and matt lacquer finish make the bedroom set adorable with quiet look. Set available as King or Queen Size Bed with Nightstand ; Dresser and Mirror. Also you can add a optional Chest; double dresser; or 2 or 4 Door Wardrobe. Hardware used for the bed base is all from Europe. All drawers are equipped with self closing mechanisms.  Combination Cuerda + Pierda matt lacquer finish","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Beds-with-Storage_Marina-Bedroom.gif","p8348-i21427+i17752+i17749+i17747+i17746","6799.99","shopify","Size","King"
"marina-bedroom-set","UPDATE","Marina Bedroom Set","Combination of natural wood veneer and matt lacquer finish make the bedroom set adorable with quiet look. Set available as King or Queen Size Bed with Nightstand ; Dresser and Mirror. Also you can add a optional Chest; double dresser; or 2 or 4 Door Wardrobe. Hardware used for the bed base is all from Europe. All drawers are equipped with self closing mechanisms.  Combination Cuerda + Pierda matt lacquer finish","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Beds-with-Storage_Marina-Bedroom.gif","p8348-i21428+i17753+i17749+i17747+i17746","6299.99","shopify","Size","Queen"
"marbella-set","UPDATE","Marbella Set","From Spain finished in a Black high gloss and complemented with natural ebony veneer wood inserts create this exotic contemporary bedroom setting. Wings as a are part of Headboard give extraordinary look. Available with Standing Mirror; storage platforms; Chest and 2 and 4 Door Wardrobes. All drawers are equipped with self closing mechanisms.  Finishes: BLACK HIGH GLOSS / HIGH GLOSS NATURAL EBONY WOOD VENEER  <iframe width="560" height="315" src="https://www.youtube.com/embed/C1cwh8trn_Y" frameborder="0" allowfullscreen></iframe>","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Marbella.jpg","p6835-i11308+i11307+i11306+i10940+i10941+i10943","7699.99","shopify","Size","King"
"marbella-set","UPDATE","Marbella Set","From Spain finished in a Black high gloss and complemented with natural ebony veneer wood inserts create this exotic contemporary bedroom setting. Wings as a are part of Headboard give extraordinary look. Available with Standing Mirror; storage platforms; Chest and 2 and 4 Door Wardrobes. All drawers are equipped with self closing mechanisms.  Finishes: BLACK HIGH GLOSS / HIGH GLOSS NATURAL EBONY WOOD VENEER  <iframe width="560" height="315" src="https://www.youtube.com/embed/C1cwh8trn_Y" frameborder="0" allowfullscreen></iframe>","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Marbella.jpg","p6835-i11304+i11303+i11302+i10940+i10941+i10943","6999.99","shopify","Size","Queen"
"capri-(capri-&-cindy-beds)-set","UPDATE","Capri (capri & Cindy Beds) Set","This Set Collection has a modern feel and look. The finish is a high gloss Walnut finish. The Collection brings the modern crisp look and feel with simple satin metal brushed pulls and legs. The collection gives the room a rich; clean look and an open airy feel. The Bedroom Set with Sleigh Bed consists of Queen Size Bed; Nightstand; Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard; then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards. ALF  Made in Italy (Not Available in Canada)","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Capri-Capri-Cindy-Beds.gif","p503-i517+i518+i519+i532","4199.99","shopify","Size","King"
"capri-(capri-&-cindy-beds)-set","UPDATE","Capri (capri & Cindy Beds) Set","This Set Collection has a modern feel and look. The finish is a high gloss Walnut finish. The Collection brings the modern crisp look and feel with simple satin metal brushed pulls and legs. The collection gives the room a rich; clean look and an open airy feel. The Bedroom Set with Sleigh Bed consists of Queen Size Bed; Nightstand; Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard; then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards. ALF  Made in Italy (Not Available in Canada)","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Capri-Capri-Cindy-Beds.gif","p503-i516+i518+i519+i532","3999.99","shopify","Size","Queen"
"prestige-deluxe-set","UPDATE","Prestige Deluxe Set","Georgia  Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Bed; elegant and sober; is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed; Nightstand; Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard; then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.Status Italy","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Prestige-Deluxe.gif","p6350-i7586+i7584+i7587+i7588+i7589","4899.99","shopify","Size","King"
"prestige-deluxe-set","UPDATE","Prestige Deluxe Set","Georgia  Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Bed; elegant and sober; is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed; Nightstand; Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard; then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.Status Italy","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Prestige-Deluxe.gif","p6350-i7585+i7583+i7587+i7588+i7589","4799.99","shopify","Size","Queen"
"sara-bedroom-set","UPDATE","Sara Bedroom Set","Modern Style Bedroom with High Gloss White Finish. Bed Available as Platform only or With storage. The collection gives the room a rich; clean look and an open airy feel. The Bedroom Set Consist of Queen or King Size Bed; Nightstand; Dresser and Mirror. The Double Dresser ; 5-Drawer Chest and 2 and 4 Door Wardrobe are optional items. All drawers are equipped with self closing; self cleaning rail system that provides more smoothness for opening and closing. Hardware used for the bed base are all from Europe.  White High gloss lacquer finish","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Sara-Bedroom.gif","p6970-i11098+i11100+i11101+i11103","6399.99","shopify","Size","King"
